"","loan_amnt","term","int_rate","grade","sub_grade","emp_length","home_ownership","annual_inc","verification_status","purpose","zip_code","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","open_acc","pub_rec","revol_bal","revol_util","total_acc"
"703452",2800," 36 months",16.99,"D","D3","6 years","OWN",24089,"Not Verified","debt_consolidation","239xx",18.19,0,"Dec-00",0,6,0,1504,45,18
"372056",7000," 36 months",13.35,"C","C2","10+ years","RENT",45000,"Verified","debt_consolidation","640xx",18.72,0,"Jun-04",0,7,0,5210,88.3,9
"614559",15000," 60 months",17.57,"D","D4","5 years","MORTGAGE",35000,"Source Verified","debt_consolidation","967xx",17.49,0,"Mar-08",0,10,0,8805,45.4,18
"207758",22750," 60 months",11.14,"B","B2","5 years","MORTGAGE",60000,"Verified","debt_consolidation","750xx",29.19,0,"Oct-89",0,10,0,44328,70.5,50
"739246",16000," 36 months",5.32,"A","A1","10+ years","OWN",150000,"Not Verified","debt_consolidation","844xx",9.67,0,"Feb-74",0,15,0,16128,16.3,29
"32556",15000," 36 months",7.88,"A","A5","4 years","MORTGAGE",84000,"Not Verified","other","606xx",3.41,0,"Oct-89",1,9,0,36048,61.1,28
"278097",20000," 36 months",14.99,"C","C5","10+ years","RENT",110000,"Verified","home_improvement","112xx",2.5,0,"Nov-97",0,7,0,2539,41,9
"16899",14000," 36 months",10,"B","B2","< 1 year","MORTGAGE",82000,"Source Verified","other","359xx",19.42,0,"Jul-99",1,12,0,3695,18.3,28
"856279",20000," 36 months",14.31,"C","C4","2 years","OWN",40000,"Verified","debt_consolidation","077xx",12.03,0,"Apr-05",0,7,0,14758,75.3,10
"360118",12000," 36 months",9.17,"B","B1","8 years","RENT",44000,"Not Verified","debt_consolidation","242xx",16.37,0,"Jun-05",0,7,0,7709,35,13
"608577",14350," 60 months",23.99,"F","F3","5 years","MORTGAGE",70000,"Source Verified","debt_consolidation","338xx",21.46,0,"Jul-02",0,15,0,18572,92,27
"585909",10000," 36 months",12.69,"C","C2","3 years","RENT",44000,"Not Verified","debt_consolidation","371xx",32.38,0,"Nov-03",0,11,0,8634,42.5,22
"297112",6000," 36 months",7.69,"A","A4","6 years","RENT",56000,"Not Verified","debt_consolidation","088xx",8.25,1,"Jul-02",0,16,0,7577,28.2,24
"55639",14800," 36 months",12.99,"B","B4","10+ years","MORTGAGE",86000,"Source Verified","debt_consolidation","461xx",13.61,0,"Mar-98",1,11,0,11840,49.7,20
"278219",10500," 36 months",10.15,"B","B2","3 years","MORTGAGE",40000,"Not Verified","debt_consolidation","390xx",20.73,0,"Sep-10",0,15,0,6122,20,18
"156109",18225," 60 months",15.31,"C","C2","10+ years","MORTGAGE",41000,"Verified","debt_consolidation","380xx",26.96,0,"Aug-98",0,11,0,16520,61.6,18
"362749",20000," 36 months",10.99,"B","B3","6 years","MORTGAGE",80000,"Verified","debt_consolidation","130xx",25.91,0,"Aug-02",0,8,0,20805,77.3,18
"681420",23000," 60 months",18.55,"E","E2","10+ years","RENT",50000,"Not Verified","credit_card","450xx",18.34,0,"Oct-96",0,18,1,15591,47.5,27
"250869",16150," 60 months",24.5,"F","F3","10+ years","OWN",55353,"Source Verified","debt_consolidation","765xx",24.13,0,"Aug-97",1,8,0,17552,69.7,17
"419727",30000," 36 months",15.31,"C","C4","< 1 year","MORTGAGE",86000,"Verified","small_business","333xx",12.16,1,"Apr-88",1,13,0,6373,33.9,35
"497203",15000," 36 months",14.48,"C","C5","n/a","MORTGAGE",36500,"Verified","debt_consolidation","319xx",22.23,0,"Feb-93",1,12,0,10437,72,27
"580304",15000," 60 months",12.69,"C","C2","7 years","MORTGAGE",83000,"Not Verified","debt_consolidation","077xx",10.77,0,"Jan-04",1,12,0,10595,34.5,25
"557286",15000," 36 months",11.53,"B","B5","8 years","MORTGAGE",80000,"Verified","debt_consolidation","431xx",7.49,0,"Jul-02",1,8,0,16987,75.2,21
"145710",5600," 36 months",13.11,"B","B4","10+ years","RENT",54000,"Not Verified","debt_consolidation","070xx",28.6,0,"Dec-05",0,5,0,6555,46.2,9
"170301",9000," 36 months",15.31,"C","C2","10+ years","MORTGAGE",72000,"Not Verified","home_improvement","953xx",11.15,0,"Jun-95",1,10,0,9044,42.3,33
"609745",24000," 36 months",13.99,"C","C4","10+ years","RENT",112000,"Verified","debt_consolidation","980xx",24.22,0,"Sep-99",0,19,0,36809,83,34
"122653",22550," 60 months",15.22,"C","C3","10+ years","RENT",146000,"Source Verified","debt_consolidation","110xx",2.97,0,"Feb-04",0,9,0,12276,51.6,16
"747003",20000," 60 months",16.55,"D","D2","6 years","MORTGAGE",40000,"Source Verified","credit_card","284xx",24.87,1,"Dec-95",0,10,0,17559,54.2,20
"488441",6000," 36 months",7.26,"A","A4","7 years","RENT",28200,"Source Verified","debt_consolidation","224xx",28.63,0,"Jul-07",0,20,0,4808,20.9,26
"362301",9000," 36 months",13.35,"C","C2","3 years","RENT",25000,"Source Verified","debt_consolidation","441xx",25.4,0,"Jun-08",0,8,0,6355,58.8,9
"298733",6700," 36 months",14.49,"C","C4","9 years","MORTGAGE",53000,"Not Verified","debt_consolidation","437xx",28.85,2,"Oct-99",0,12,0,3392,80.8,35
"803550",15775," 60 months",18.84,"E","E2","2 years","MORTGAGE",50000,"Source Verified","debt_consolidation","662xx",35.39,0,"Jun-02",1,16,0,14703,48.4,30
"449989",12000," 36 months",12.85,"B","B4","4 years","RENT",57000,"Verified","other","472xx",7.77,0,"Apr-99",0,5,1,2845,46.6,21
"263101",9325," 36 months",14.49,"C","C4","6 years","RENT",21383,"Verified","credit_card","640xx",21.81,0,"May-08",0,9,0,12242,81.1,12
"322105",8500," 36 months",8.39,"A","A5","< 1 year","MORTGAGE",1e+05,"Not Verified","home_improvement","891xx",12.74,0,"Oct-99",2,15,0,1471,4.5,38
"184728",7800," 60 months",10.16,"B","B1","10+ years","MORTGAGE",62400,"Source Verified","car","441xx",5.23,1,"Aug-92",0,9,1,2685,11.4,20
"685575",16000," 36 months",10.99,"B","B4","4 years","RENT",73000,"Source Verified","car","760xx",24.02,1,"Jan-99",2,14,0,5815,0.3,31
"597420",6000," 36 months",9.99,"B","B3","10+ years","RENT",55000,"Verified","car","985xx",17.61,0,"Oct-96",0,12,0,17179,62.7,13
"534984",11000," 36 months",7.26,"A","A4","8 years","MORTGAGE",84000,"Not Verified","debt_consolidation","852xx",9.69,0,"Mar-06",1,10,0,8470,29.7,17
"23562",2400," 36 months",9.25,"B","B2","5 years","RENT",30000,"Not Verified","debt_consolidation","334xx",11.52,0,"Jul-03",0,2,0,0,0,9
"401095",21000," 60 months",15.31,"C","C4","5 years","MORTGAGE",127000,"Verified","debt_consolidation","958xx",30.36,0,"Jan-89",2,16,0,48159,70.7,45
"41006",12000," 36 months",13.92,"C","C4","4 years","MORTGAGE",36500,"Not Verified","debt_consolidation","153xx",18.74,2,"Nov-98",4,14,0,7780,41.6,35
"532354",10000," 60 months",10.99,"B","B4","10+ years","MORTGAGE",76800,"Not Verified","credit_card","373xx",11.58,1,"Oct-97",0,6,0,7119,61.4,18
"252326",16450," 36 months",15.99,"D","D2","10+ years","MORTGAGE",56151,"Verified","debt_consolidation","062xx",5.47,0,"Dec-99",1,10,0,5735,69.1,18
"404181",25000," 60 months",18.92,"D","D4","10+ years","OWN",75000,"Source Verified","debt_consolidation","787xx",13.8,0,"Apr-04",0,9,0,6149,47.7,45
"665665",12800," 60 months",13.33,"C","C3","5 years","RENT",130000,"Source Verified","other","038xx",14.37,0,"Aug-90",0,7,0,12798,64,20
"18084",15000," 36 months",11.11,"B","B5","< 1 year","RENT",33600,"Not Verified","debt_consolidation","761xx",7.61,0,"Feb-99",1,11,0,13820,33.7,35
"777463",12000," 60 months",13.99,"C","C4","10+ years","MORTGAGE",98000,"Verified","home_improvement","119xx",9.11,0,"Jun-07",1,11,0,9377,62.9,20
"452001",35000," 60 months",19.22,"D","D4","5 years","RENT",475000,"Source Verified","medical","303xx",4.29,0,"Aug-01",0,12,0,857,2.4,26
"61596",20000," 60 months",19.2,"D","D3","2 years","MORTGAGE",114750,"Verified","debt_consolidation","360xx",12.24,1,"Jan-90",2,4,0,9437,96.8,32
"282071",10000," 60 months",16.99,"D","D3","10+ years","MORTGAGE",76110,"Verified","debt_consolidation","283xx",38.03,0,"Jun-99",0,11,1,8697,72.5,32
"393172",22200," 60 months",13.98,"C","C3","10+ years","MORTGAGE",106000,"Verified","credit_card","915xx",18.84,1,"Oct-78",0,6,0,39541,64.3,23
"457310",28000," 36 months",7.9,"A","A4","10+ years","MORTGAGE",107000,"Verified","credit_card","481xx",17.63,0,"May-89",0,16,0,16782,40.5,43
"686265",26325," 36 months",7.89,"A","A5","10+ years","MORTGAGE",2e+05,"Source Verified","debt_consolidation","928xx",21.53,0,"Nov-01",0,14,0,35750,71.5,36
"316924",16000," 36 months",10.99,"B","B3","10+ years","RENT",48500,"Source Verified","debt_consolidation","210xx",22.12,0,"Mar-00",0,13,1,7126,27.2,38
"165397",15000," 36 months",11.14,"B","B2","2 years","RENT",102000,"Verified","debt_consolidation","980xx",27.74,0,"Jun-02",4,6,0,2258,14.4,11
"760976",26775," 60 months",18.84,"E","E2","10+ years","RENT",61004,"Source Verified","credit_card","609xx",33.13,0,"Sep-92",0,8,0,40338,73.2,13
"653276",11625," 60 months",22.99,"F","F2","1 year","RENT",80000,"Source Verified","other","197xx",0.75,1,"Jan-93",0,2,0,1073,17,14
"308150",18000," 36 months",7.69,"A","A4","5 years","RENT",62300,"Not Verified","credit_card","641xx",38.26,0,"Nov-95",1,13,0,20359,59.9,24
"96455",7750," 36 months",9.71,"B","B1","2 years","MORTGAGE",36800,"Verified","debt_consolidation","212xx",14.84,1,"Mar-02",0,9,0,3369,32.4,29
"272806",15000," 60 months",17.57,"D","D4","7 years","RENT",46000,"Source Verified","debt_consolidation","945xx",36.86,0,"Jan-09",1,12,0,9640,45.5,18
"129161",12000," 36 months",14.33,"C","C1","8 years","RENT",95000,"Not Verified","debt_consolidation","607xx",7.63,0,"Apr-04",1,8,0,7224,46.3,10
"86257",9800," 36 months",9.99,"B","B1","1 year","RENT",50000,"Source Verified","debt_consolidation","282xx",21.05,0,"Aug-94",0,7,0,5263,46.2,15
